Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,1.2,2.2,-1,-,93,13.97,10.3,13.9,24.1,42.4,o,o, , 
2,0.8,3,-1.4,-,96,1.27,8.9,14.4,25.9,-,o,o, ,o
3,0.8,3.2,-1,-,92,0.76,6.8,8.9,22.2,-, ,o, , 
4,,,,,,,,,,,o,o, , 
5,,,,,,,,,,, ,o, , 
6,,,,,,,,,,, ,o, , 
7,-1.7,0.3,-5,-,91,3.56,4.5,15.6,22.2,-, ,o, , 
8,-3.1,1,-6.4,-,78,0,6.6,8.7,18,-, , , , 
9,-3.1,-1,-6.1,-,93,0,3.7,10.4,21.7,-,o,o, , 
10,,,,,,,,,,, ,o, ,o
11,,,,,,,,,,,o,o, , 
12,,,,,,,,,,, ,o, , 
13,-1.7,2.3,-5,-,75,0,12.2,12.4,24.1,-, , , , 
14,-1.1,3.3,-5.4,-,69,0,12.6,13,18.3,-, , , , 
15,2.1,5,-1,-,93,0,4.5,13.1,24.1,40.7,o,o, ,o
16,,,,,,,,,,, , , ,o
17,,,,,,,,,,,o,o, , 
18,,,,,,,,,,, , , , 
19,-0.9,1,-3.4,-,83,0,9.2,4.4,11.1,-, , , , 
20,0.1,3,-2.4,-,78,0,6.9,10.7,18.3,-, , , , 
21,0.3,5.5,-3.1,-,66,0,6.6,22.2,29.4,-, , , , 
22,,,,,,,,,,, , , , 
23,,,,,,,,,,, , , , 
24,,,,,,,,,,, , , , 
25,-4.1,-0.4,-7.4,-,41,0,13,25.4,33.5,50, , , , 
26,-6.2,-2.4,-9,-,55,0,10.6,26.3,35.9,53.5, ,o, , 
27,-7.1,-4,-10,-,57,0,9.2,19.1,31.7,-, ,o, , 
28,,,,,,,,,,, , , , 
