Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,3.4,5,1.4,-,99,1.52,2.9,8,18.3,-, , , ,o
2,5.1,7.2,3,-,95,0,5.8,11.5,16.5,-,o, , ,o
3,4.3,5.6,1,-,95,2.79,8.5,16.9,25.2,42.4,o, , , 
4,,,,,,,,,,,o,o, ,o
5,,,,,,,,,,,o, , , 
6,,,,,,,,,,,o,o, ,o
7,4.6,7,3,-,93,6.1,7.6,19.4,35.2,55.4,o, , ,o
8,3,5.4,0,-,89,0,10.5,8.9,25.9,-, , , ,o
9,2.4,5.2,0,-,99,0,2.4,6.5,18,-,o, , ,o
10,,,,,,,,,,,o, , , 
11,,,,,,,,,,,o, , , 
12,,,,,,,,,,,o, , , 
13,2.6,4,0,-,92,3.05,9.5,24.6,35.2,53.5,o,o,o, 
14,0.3,1.1,-1,-,96,4.06,5.8,17,31.7,55.4,o,o,o,o
15,-0.4,1,-1,-,99,7.87,4,23.7,38.9,57.6,o,o, , 
16,,,,,,,,,,,o,o,o, 
17,,,,,,,,,,,o,o,o, 
18,,,,,,,,,,, , , , 
19,-6.9,-4,-9,-,93,0,6,6.5,14.8,-, , , ,o
20,-5.2,-0.4,-11,-,89,0,3.5,2.6,11.1,-,o,o, ,o
21,-1.1,1,-4,-,89,0,6.3,4.8,9.4,-, , , , 
22,,,,,,,,,,,o, , ,o
23,,,,,,,,,,,o,o, ,o
24,,,,,,,,,,,o, , ,o
25,6.3,10,4,-,85,0,6.3,7.6,14.8,-, , , , 
26,6.3,8,3.3,-,91,0,7.9,15.7,33.5,51.9,o, , ,o
27,8.7,11,7,-,72,-,10,22.4,31.7,44.6,o, , , 
28,,,,,,,,,,,o, , , 
29,,,,,,,,,,,o, , ,o
30,,,,,,,,,,,o, , ,o
31,5.8,11,3,-,95,1.27,7.6,18.5,37,55.4,o, , ,o
