Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-4.2,-3,-5.2,-,99,0,1.3,9.4,14.8,-,o,o, ,o
2,-1.5,0,-4.9,-,99,0,3.7,10.9,18.3,-, ,o, ,o
3,-1.4,0,-2.1,-,99,0.51,4,16.9,27.8,-,o,o, ,o
4,,,,,,,,,,,o,o,o,o
5,,,,,,,,,,,o,o,o, 
6,,,,,,,,,,, , , , 
7,-5.9,-3,-9.7,-,84,0,8.4,8.9,18,-,o,o, , 
8,-0.1,2.3,-4.2,-,96,0.25,4.8,9.8,18,-,o,o, ,o
9,0.7,2,-0.2,-,94,0.25,5.6,8.1,14.8,-,o,o,o,o
10,,,,,,,,,,,o,o, ,o
11,,,,,,,,,,,o, , ,o
12,,,,,,,,,,,o, , , 
13,0.2,1,-1,-,91,0,6.9,30.7,61.1,90.7,o,o, , 
14,0.1,1.2,-1,-,89,1.52,10.1,18.3,25.9,40.7,o,o, , 
15,-0.3,1.2,-2.3,-,87,0,10.1,10,14.8,-, ,o, , 
16,,,,,,,,,,,o,o, , 
17,,,,,,,,,,, , , , 
18,,,,,,,,,,, , , , 
19,-4.3,0,-7.2,-,71,0,-,23.9,29.4,-, , , , 
20,-2.4,2.1,-5.7,-,52,0,-,22.2,29.4,-, , , , 
21,-2.6,1.2,-6,-,63,0,13.7,8.9,18,-, , , , 
22,,,,,,,,,,, , , , 
23,,,,,,,,,,, , , ,o
24,,,,,,,,,,, ,o, ,o
25,-4.6,-3,-6,-,87,0,8.5,14.6,22.2,-, ,o, , 
26,-4.4,-1.9,-6,-,84,0,8.4,12,18,-, , , , 
27,-2.4,1.1,-7,-,77,0,7.2,8.5,14.8,-, , , , 
28,,,,,,,,,,,o, , , 
29,,,,,,,,,,,o, , ,o
30,,,,,,,,,,,o, , ,o
31,2.3,6,-0.5,-,95,7.87,6.6,8.1,14.8,-,o, , ,o
