Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-1.6,0,-3,-,99,0,0.2,6.3,14.8,-, , , ,o
2,0.4,3,-2.5,-,99,-,1.8,13.9,18.3,-,o, , ,o
3,1.9,9,0,-,99,-,3.2,12.8,33.5,50,o,o, ,o
4,,,,,,,,,,, , , , 
5,,,,,,,,,,, , , ,o
6,,,,,,,,,,,o, , ,o
7,-0.1,1,-0.6,-,99,0,0.6,4.6,11.1,-,o, , ,o
8,5.2,8,0.6,-,98,5.08,5.5,21.1,38.9,59.4,o, , ,o
9,7.8,12,5,-,99,0.51,8.2,31.7,46.9,66.5,o, , , 
10,,,,,,,,,,,o, , , 
11,,,,,,,,,,,o,o, , 
12,,,,,,,,,,,o, , , 
13,6.9,11,4.8,1015.8,78,0,10,21.5,40.7,66.5,o, , , 
14,3.4,6.9,1,-,95,2.03,9.8,21.7,42.4,63,o,o,o, 
15,6.4,9,3.5,1011.1,88,1.02,10,24.8,35.9,59.4,o, , , 
16,,,,,,,,,,,o, , ,o
17,,,,,,,,,,,o, , , 
18,,,,,,,,,,, , , , 
19,-2.5,-2,-3.3,-,97,0,1.1,3,7.6,22.2, ,o, ,o
20,-1.2,1.1,-3,-,88,0,6.4,5.2,11.1,-, ,o, , 
21,-0.8,1,-4,-,86,0,9.8,10.4,18.3,-, , , , 
22,,,,,,,,,,, , , , 
23,,,,,,,,,,, , , , 
24,,,,,,,,,,, ,o, , 
25,-0.1,1,-3,-,98,-,5.1,7.8,13,-, ,o, ,o
26,0.9,3,-0.3,-,100,5.08,2.4,9.4,18,38.9,o,o, ,o
27,1.6,3,0,-,94,0,8.4,12.4,18.3,-, , , , 
28,,,,,,,,,,,o, , ,o
29,,,,,,,,,,,o,o, , 
30,,,,,,,,,,,o,o, , 
31,-0.6,0.4,-2,-,99,0,5,8.7,16.5,-, ,o, , 
