Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-1.6,0,-3,-,99,0,0.2,6.3,14.8,-, , , ,o
2,0.4,3,-2.5,-,99,-,1.8,13.9,18.3,-,o, , ,o
3,1.9,9,0,-,99,-,3.2,12.8,33.5,50,o,o, ,o
4,,,,,,,,,,, , , , 
5,,,,,,,,,,, , , ,o
6,,,,,,,,,,,o, , ,o
7,-0.1,1,-0.6,-,99,0,0.6,4.6,11.1,-,o, , ,o
8,5.2,8,0.6,-,98,5.08,5.5,21.1,38.9,59.4,o, , ,o
9,7.8,12,5,-,99,0.51,8.2,31.7,46.9,66.5,o, , , 
10,,,,,,,,,,,o, , , 
11,,,,,,,,,,,o,o, , 
12,,,,,,,,,,,o, , , 
13,6.9,11,4.8,1015.8,78,0,10,21.5,40.7,66.5,o, , , 
14,3.4,6.9,1,-,95,2.03,9.8,21.7,42.4,63,o,o,o, 
15,6.4,9,3.5,1011.1,88,1.02,10,24.8,35.9,59.4,o, , , 
16,,,,,,,,,,,o, , ,o
17,,,,,,,,,,,o, , , 
18,,,,,,,,,,, , , , 
19,-2.5,-2,-3.3,-,97,0,1.1,3,7.6,22.2, ,o, ,o
20,-1.2,1.1,-3,-,88,0,6.4,5.2,11.1,-, ,o, , 
21,-0.8,1,-4,-,86,0,9.8,10.4,18.3,-, , , , 
22,,,,,,,,,,, , , , 
23,,,,,,,,,,, , , , 
24,,,,,,,,,,, ,o, , 
25,-0.1,1,-3,-,98,-,5.1,7.8,13,-, ,o, ,o
26,0.9,3,-0.3,-,100,5.08,2.4,9.4,18,38.9,o,o, ,o
27,1.6,3,0,-,94,0,8.4,12.4,18.3,-, , , , 
28,,,,,,,,,,,o, , ,o
29,,,,,,,,,,,o,o, , 
30,,,,,,,,,,,o,o, , 
31,-0.6,0.4,-2,-,99,0,5,8.7,16.5,-, ,o, , 
1,-0.3,1,-2.4,-,98,4.06,6.3,13.5,25.2,40.7,o,o, , 
2,-0.4,1.8,-3,-,90,0.25,8.7,12,22.2,-,o,o, , 
3,-2,2,-6.2,-,84,0,10.6,6.5,14.4,-, ,o, , 
4,,,,,,,,,,, , , , 
5,,,,,,,,,,, ,o, , 
6,,,,,,,,,,, , , , 
7,-1.2,3.1,-5.2,-,63,0,11.1,22.8,35.2,-, , , , 
8,1.8,3,0,-,74,0,10,15.7,29.4,48.2,o,o, , 
9,1.8,3.4,0.7,-,89,-,8,9.1,14.8,24.1,o, , , 
10,,,,,,,,,,, , , , 
11,,,,,,,,,,, , , , 
12,,,,,,,,,,, , , ,o
13,1.2,6.7,-3,-,92,0,3.1,8.5,14.8,-, , , ,o
14,4.6,7.2,3,-,94,0.51,9.7,12.8,18.3,-,o, , , 
15,1.9,5.5,-2,-,91,0,4.5,7.6,13,-, , , , 
16,,,,,,,,,,, , , , 
17,,,,,,,,,,,o, , ,o
18,,,,,,,,,,, , , ,o
19,-1.2,0,-2.3,-,96,0,2.6,9.4,16.5,-, , , ,o
20,4.3,9,-0.5,-,82,-,7.1,18.5,27.8,40.7,o, , , 
21,2.5,4.5,0,-,92,1.02,7.9,13.9,25.9,44.6,o,o, , 
22,,,,,,,,,,,o,o, , 
23,,,,,,,,,,,o,o, ,o
24,,,,,,,,,,,o, , , 
25,2.5,5,0.6,-,96,1.02,6.9,8.7,14.8,-,o, , ,o
26,4.6,6,3,-,96,1.27,3.4,9.6,16.5,-,o, , ,o
27,3.1,5,-1,-,86,2.03,9.8,12.8,22.2,46.5,o, , , 
28,,,,,,,,,,,o, , , 
1,5.8,9.1,1,-,85,0.25,8.2,18.9,31.7,-,o, , ,o
2,4.9,7.2,1,-,75,2.03,9.7,25.2,40.7,98.2,o, , , 
3,3,9,-2,-,82,0.25,10.5,16.7,33.5,57.6,o, , , 
4,,,,,,,,,,, , , , 
5,,,,,,,,,,, , , , 
6,,,,,,,,,,, , , , 
7,5.6,10,-0.2,-,65,0,8.5,3.3,11.1,-, , , , 
8,8.6,15,3,-,-,0,-,4.6,11.1,-, , , , 
9,8.4,14,3,-,77,0,7.7,8.3,18.3,-, , , , 
10,,,,,,,,,,,o, , , 
11,,,,,,,,,,, , , ,o
12,,,,,,,,,,, , , , 
13,3.6,9.3,-1,-,66,0,11.4,16.7,22.2,-, , , , 
14,3.8,8.1,0,-,72,0,10.3,19.4,29.4,-, , , , 
15,2.8,6,1,-,90,0.51,8.5,18.5,27.8,-,o, , , 
16,,,,,,,,,,, , , , 
17,,,,,,,,,,, , , , 
18,,,,,,,,,,, , , , 
19,6.8,9,5,-,86,0,2.9,17.2,24.1,-, , , , 
20,7.3,14,3.5,-,75,0,3.5,11.7,21.7,-, , , ,o
21,4,7.2,1.8,-,89,-,6,10.2,18.3,-,o, , ,o
22,,,,,,,,,,, , , , 
23,,,,,,,,,,, , , , 
24,,,,,,,,,,,o, , , 
25,5.7,8,4,-,88,0.76,7.1,11.3,18,37,o, , ,o
26,4.4,7.5,2,-,78,-,8.7,14.6,28.7,37,o, , , 
27,5.4,9.5,2,-,73,0,9.7,14.1,25.2,-, , , , 
28,,,,,,,,,,,o, , ,o
29,,,,,,,,,,,o, , , 
30,,,,,,,,,,,o, , , 
31,7.9,11,2,-,83,7.11,8.4,37,55.4,79.5,o,o,o, 
1,4.1,7,1,-,72,0,10.6,23.7,32.4,55.4,o,o, , 
2,4.7,8,0,-,75,3.05,9.5,21.3,37,51.9,o, , , 
3,3.7,7,-1,-,80,0.51,8.4,6.7,14.4,-,o, , , 
4,,,,,,,,,,,o, , , 
5,,,,,,,,,,, , , , 
6,,,,,,,,,,, , , , 
7,7.3,13.1,1.9,-,55,0,8.4,8.1,14.4,-, , , , 
8,9.8,15,2.8,-,58,0,11.7,8.3,13,-, , , , 
9,12.4,19,4.7,-,53,0,9.2,8.5,14.8,-, , , , 
10,,,,,,,,,,, , , , 
11,,,,,,,,,,,o, , , 
12,,,,,,,,,,, , , , 
13,11.3,15.1,6.9,-,69,0,11.1,9.1,14.8,33.5, , , , 
14,13.8,21,6.5,-,62,0,12.4,10,22.2,-, , , , 
15,17.6,24,10.2,-,46,0,-,6.9,16.5,-, , , , 
16,,,,,,,,,,, , , , 
17,,,,,,,,,,,o, , , 
18,,,,,,,,,,, , , , 
19,10.4,16.4,4,-,41,0,-,16.5,22.2,33.5, , , , 
20,13.4,20,7,-,39,0,15,16.5,21.7,-, , , , 
21,15.9,22,10,-,39,0,10,14.6,25.9,-, , , , 
22,,,,,,,,,,, , , , 
23,,,,,,,,,,, , , , 
24,,,,,,,,,,, , , , 
25,12.3,14.1,10,-,82,2.03,9.5,8.7,20.6,-,o, , , 
26,13,19,9.9,-,86,3.05,8.7,10,18.3,-,o, ,o, 
27,8.6,11,5.9,-,95,22.1,8.7,18,28.7,-,o, , , 
28,,,,,,,,,,, , , , 
29,,,,,,,,,,, , , , 
30,,,,,,,,,,,o, , , 
1,7.6,10,5.9,-,91,1.52,8,7.6,14.8,-,o, , ,o
2,9.8,13,4,-,82,0,9.3,8,14.4,-,o, , , 
3,12.8,15.2,10,-,97,7.87,5.8,13.1,20.6,-,o, , ,o
4,,,,,,,,,,,o, , , 
5,,,,,,,,,,,o, , , 
6,,,,,,,,,,,o, , , 
7,10.8,15,6.8,-,68,0,11.4,10.4,20.6,-, , , , 
8,14,19,7.4,-,57,-,14,6.3,11.1,-,o, , , 
9,14.3,18,11,-,71,0,10.9,18.1,31.7,44.6,o, , , 
10,,,,,,,,,,, , , , 
11,,,,,,,,,,, , , , 
12,,,,,,,,,,, , , , 
13,13.6,19,6.5,-,63,0,13.2,7.4,13,-,o, , , 
14,12.4,16,7.6,-,72,0,11.4,9.3,21.7,-,o, , , 
15,11.8,17.2,7,-,80,3.3,8.2,15.2,22.2,-,o, , , 
16,,,,,,,,,,,o, , , 
17,,,,,,,,,,, , , ,o
18,,,,,,,,,,, , , , 
19,10.3,14.3,6,-,66,0.25,10.8,20.2,27.8,42.4,o, , , 
20,8.8,14,4,-,69,0.25,10.9,12.4,29.4,-,o, , , 
21,10.9,17,3,-,56,0,10,10.4,14.8,-, , , , 
22,,,,,,,,,,, , , , 
23,,,,,,,,,,, , , , 
24,,,,,,,,,,,o, , , 
25,11.9,16,8,-,84,7.11,11.1,7.4,14.8,-,o, ,o, 
